 7 point match

 Game 1
 DA,1960 : 0                      nori,1813 : 0
  1) 21: 13/11 6/5               31: 24/21 21/20
  2) 16: 25/24 11/5              55: 25/20 13/8 8/3 8/3
  3) 66:                          Doubles => 2
  4)  Takes                      35: 13/8 13/10
  5) 54: 25/20 24/20             44: 6/2 6/2 10/6 24/20
  6) 13: 8/7 7/4                 11: 8/7 8/7 8/7 7/6
  7) 16: 13/7 7/6                64: 20/14 14/10
  8) 13: 8/5 5/4                 26: 25/23 23/17
  9) 53: 25/20 6/3               35: 13/8 13/10
 10) 21: 6/4 4/3                 54: 17/13 13/8
 11) 45: 13/8 13/9               55: 8/3 8/3 7/2 7/2
 12) 41: 9/5 6/5                 41: 6/2 3/2
 13) 32: 13/10 10/8              26: 10/4 6/4
 14) 16: 20/14 8/7               64: 10/4 6/2
 15) 41: 14/10 8/7               12: 2/0 4/3
 16) 34: 10/6 7/4                65: 6/0
 17) 26: 20/14 20/18             25: 6/4 4/0
 18) 36: 18/12 14/11             63: 4/0 3/0
 19) 34: 24/21 11/7              24: 25/23
 20)  Doubles => 4                Takes
 21) 25: 7/2 4/2                 61: 25/24 24/18
 22) 13: 25/24 24/21             65: 18/13 13/7
 23) 42: 25/21 21/19             15: 7/2 3/2
 24) 14: 21/17 19/18             22: 3/1 3/1 2/0 2/0
 25) 12:                         42: 2/0 2/0
 26) 34:                                   Wins 8 points
