 3 point match

 Game 1
 JURY,1432 : 0                    nori,1773 : 0
  1) 63: 13/7 13/10              66: 24/18 24/18 13/7 13/7
  2) 35: 25/20 13/10              Doubles => 2
  3)  Takes                      43: 13/9 8/5
  4) 42: 25/23 24/20             34: 25/22 13/9
  5) 34: 24/20 23/20             43: 22/18 13/10
  6) 22: 8/6 6/4 6/4 6/4         51: 10/9 9/4
  7) 16: 20/14 14/13             66: 9/3 9/3 8/2 8/2
  8) 33: 20/17 20/17 13/10 6/3   14: 18/14 6/5
  9) 15: 17/12 12/11             65: 25/20 20/14
 10) 33:                         16: 6/5 14/8
 11) 24: 25/21                   56: 25/20 20/14
 12) 46: 25/21 10/4              41: 14/10 8/7
 13) 12: 4/2 3/2                 66: 7/1 7/1 7/1
 14) 63: 21/15 21/18             24: 
 15) 46: 18/12 12/8              44: 
 16) 34: 15/11 11/8              55: 25/20 18/13 18/13 6/1
 17) 46: 10/4 10/6               62: 13/7 13/11
 18) 16: 8/2 4/3                 62: 20/14 7/5
 19) 26: 13/11 8/2               41: 25/24 24/20
 20) 63: 11/5 6/3                51: 25/20 11/10
 21) 51:                         25: 20/18 10/5
 22) 66:                         25: 18/13 5/3
 23) 52:                         21: 13/12 12/10
 24) 53:                         42: 10/6 3/1
 25) 11:                         52: 6/1 5/3
 26) 12:                         51: 6/1 6/5
 27) 43: 25/21                   23: 5/2 2/0
 28) 13:                         54: 5/0 5/1
 29) 45: 25/20 21/17             42: 3/0 2/0
 30) 63: 20/14 17/14             11: 1/0 1/0 1/0 1/0
 31) 61: 14/8 8/7                63: 3/0 3/0
 32) 21: 8/6 7/6                 42: 2/0 1/0
 33) 43: 14/10 8/5               56: 1/0 1/0
 34) 31: 10/7 7/6                63: 1/0
                                  Wins 4 points
