 7 point match

 Game 1
 py199,1682 : 6                   nori,1728 : 3
  1) 21: 13/11 24/23             41: 13/9 24/23
  2) 62: 24/18 18/16             31: 25/22 23/22
  3) 15: 16/11 23/22             63: 13/7 7/4
  4) 61: 22/21 21/15             51: 25/20 6/5
  5) 12: 15/14 13/11             53: 8/5 13/8
  6) 21: 14/13 13/11             23: 22/20 6/3
  7) 32: 11/8 13/11              34: 8/4 6/3
  8) 46: 8/2 6/2                 65: 22/16 16/11
  9) 56: 8/2 11/6                31: 8/5 5/4
 10) 16: 11/10 10/4              43: 24/21 11/7
 11) 34:                         63: 13/7 13/10
 12) 45:                         11: 10/9 9/8 8/7 7/6
 13) 44:                         13: 21/18 6/5
 14) 51: 25/24 6/1               54: 18/13 13/9
 15) 55: 6/1 6/1 11/6 11/6       32: 5/2 8/6
 16) 42: 6/2 6/4                 52: 9/4 4/2
 17) 24: 8/4 8/6                 12: 20/18 6/5
 18) 24: 13/9 9/7                41: 
 19) 16: 13/7 2/1                35: 25/22 20/15
 20) 21: 6/4 4/3                 15: 25/20 15/14
 21) 26: 7/1 3/1                 53: 14/9 9/6
 22) 35: 7/2 6/3                 26: 7/1 5/3
 23) 12: 25/24 6/4               45: 25/20 20/16
 24) 13: 4/1 3/2                 23: 3/1 16/13
 25) 63:                         52: 20/15 6/4
 26) 33:                         61: 13/7 15/14
 27) 11: 25/24 4/3 4/3 2/1       53: 25/20 4/1
 28) 61: 25/24                   15: 25/20 20/19
 29) 64:                         46: 14/8 19/15
 30) 24: 3/1                     24: 7/3 3/1
 31) 66:                         45: 15/10 10/6
 32) 42:                         22: 20/18 18/16 16/14 14/12
 33) 16: 25/24 24/18             56: 25/19 25/20
 34) 26: 18/12 12/10             61: 12/6 6/5
 35) 55: 10/5 5/0 3/0 2/0        21: 
 36) 43: 2/0 2/0                 54: 
      Wins 1 point
