 1 point match

 Game 1
 AnaGabriela,1575 : 0             nori,1771 : 0
  1) 41: 13/9 9/8                52: 13/8 24/22
  2) 15: 24/23 13/8              26: 22/16 16/14
  3) 62: 13/11 24/18             65: 25/20 20/14
  4) 56: 25/20 20/14             34: 14/11 11/7
  5) 22: 25/23 25/23 6/4 6/4     52: 7/5 13/8
  6) 65: 23/18 8/2               26: 13/7 7/5
  7) 31: 25/22 22/21             21: 6/4 24/23
  8) 33: 25/22 25/22 8/5 8/5     54: 8/4 23/18
  9) 31: 8/7 8/5                 41: 25/24 8/4
 10) 43: 6/2 5/2                 22: 13/11 13/11 11/9 11/9
 11) 14: 7/6 13/9                23: 24/22 8/5
 12) 44: 22/18 22/18 13/9 6/2    42: 22/18 6/4
 13) 33: 18/15 18/15 9/6 9/6     24: 18/14 14/12
 14) 56: 23/18 18/12             45: 12/8 6/1
 15) 52: 15/10 10/8              43: 4/1 8/4
 16) 43: 12/8 8/5                55: 8/3 8/3 9/4 9/4
 17) 25: 6/1 5/3                 55: 5/0 5/0 6/1 6/1
 18) 23: 23/20 3/1               61: 
 19) 43: 6/3 8/4                 63: 25/22 22/16
 20) 36: 25/19 4/1               63: 16/10 10/7
 21) 41:                         41: 7/3 1/0
 22) 65:                                   Wins 1 point
