 7 point match

 Game 1
 Kopanze,1796 : 0                 nori,1765 : 4
  1) 65: 24/18 18/13             64: 24/18 13/9
  2) 46: 13/7 24/20              34: 25/21 21/18
  3) 22: 25/23 20/18 18/16 23/21 35: 25/22 13/8
  4) 15: 8/7 21/16               12: 25/23 6/5
  5) 16: 8/2 2/1                 41: 25/21 25/24
  6) 26: 25/23 13/7              25: 22/17 24/22
  7) 66:                         46: 8/2 6/2
  8) 53: 25/20 25/22             66: 
  9)  Doubles => 2                Takes
 10) 13: 7/4 4/3                 51: 25/20 25/24
 11) 65: 7/1 6/1                 53: 25/20 25/22
 12) 56: 25/20 22/16             43: 20/17 8/4
 13) 13: 16/13 6/5               21: 25/23 22/21
 14) 16: 13/7 6/5                34: 21/18 8/4
 15) 56: 25/20 13/7              23: 25/22 8/6
 16) 31: 20/17 7/6               33: 17/14 17/14 6/3 6/3
 17) 56: 13/7 7/2                14: 25/21 22/21
 18) 46: 17/13 13/7              35: 21/18 18/13
 19) 11: 25/24 16/15 16/15 6/5   51: 14/9 14/13
 20) 23: 5/2 15/13               51: 13/8 9/8
 21) 43: 15/11 11/8              31: 21/18 18/17
 22) 15: 25/24 13/8              12: 
 23) 24: 24/20 8/6               34: 25/21 21/18
 24) 12: 6/4 5/4                 35: 13/8 18/15
 25) 23: 13/10 13/11             11: 
 26) 21: 11/9 5/4                46: 
 27) 63: 24/18 18/15             61: 
 28) 65: 20/14 15/10             23: 25/22 13/11
 29) 43:                         14: 11/7 8/7
 30) 24:                         43: 13/9 9/6
 31) 62:                         23: 13/10 10/8
 32) 34:                         15: 22/17 17/16
 33) 61: 25/24                   32: 6/3 3/1
 34) 16: 25/24                   23: 25/22 8/6
 35) 25: 25/20 4/2               53: 16/11 11/8
 36) 12: 4/2 4/3                 64: 25/21 8/2
 37) 33: 10/7 10/7 7/4 7/4       63: 25/22 22/16
 38) 51: 25/24 20/15             11: 16/15 15/14 14/13 13/12
 39) 26: 20/14 15/13             32: 25/22 7/5
 40) 23:                         16: 6/5 22/16
 41) 32:                         35: 16/11 7/4
 42) 36:                         25: 11/6 8/6
 43) 64:                         45: 8/3 6/2
 44) 13: 25/24                   62: 6/0 2/0
 45) 16: 25/24 24/18             55: 5/0 5/0
 46) 11: 13/12 12/11 11/10 10/9  53: 3/0
 47) 66: 24/18 18/12 18/12 12/6  33: 6/3 6/3 3/0 3/0
 48) 53: 12/7 6/3                51: 4/0 4/3
 49) 43: 24/21 7/3               24: 
 50) 11: 21/20 20/19 19/18 18/17 43: 
 51) 56: 24/19 17/11             26: 
 52) 22: 9/7 7/5 19/17 17/15     51: 25/20 3/2
 53) 51: 25/20 6/5               61: 25/19 19/18
 54) 23:                         64: 18/14 14/8
 55) 16: 25/19 25/24             43: 8/5 5/1
 56) 54: 25/20 25/21             13: 3/0 1/0
 57) 53:                                   Wins 4 points
