 1 point match

 Game 1
 NIUSHA,1822 : 0                  nori,1763 : 0
  1) 61: 13/7 8/7                13: 8/5 6/5
  2) 15: 13/8 24/23              42: 8/4 6/4
  3) 42: 8/4 6/4                 36: 8/2 13/10
  4) 32: 25/22 24/22             41: 13/9 10/9
  5) 53: 8/3 6/3                 46: 24/20 20/14
  6) 43: 13/9 9/6                36: 14/8 8/5
  7) 44: 13/9 13/9 9/5 9/5       36: 13/7 7/4
  8) 25: 8/3 6/4                 53: 6/1 5/2
  9) 16: 7/1 7/6                 53: 
 10) 34: 22/18 4/1               22: 25/23 9/7 9/7 4/2
 11) 11: 25/24 3/2 2/1 6/5       44: 
 12) 35: 22/17 17/14             15: 
 13) 62: 24/22 22/16             44: 
 14) 31: 16/13 14/13             46: 
 15) 16: 13/7 5/4                12: 25/23
 16) 64: 13/9 7/1                43: 
 17) 53: 9/4 6/3                 41: 
 18) 53: 6/1 6/3                 42: 25/23 13/9
 19) 55: 5/0 5/0 4/0 4/0         56: 9/3 13/8
 20) 34: 4/0 4/1                 33: 7/4 4/1 8/5 23/20
 21) 66: 3/0 3/0 3/0 3/0         56: 23/17 20/15
 22) 64: 1/0 1/0                 23: 15/12 17/15
 23) 33: 1/0 1/0 1/0 1/0        
      Wins 2 points
