 7 point match

 Game 1
 PghPete,1635 : 6                 nori,1749 : 5
  1) 62: 24/18 13/11              Doubles => 2
  2)  Takes                      36: 13/7 13/10
  3) 42: 25/21 13/11             26: 10/4 6/4
  4) 23: 25/22 24/22             35: 7/2 24/21
  5) 55: 6/1 6/1 8/3 8/3         56: 25/20 8/2
  6) 54: 13/8 6/2                15: 13/8 21/20
  7) 16: 8/2 8/7                 24: 20/18 20/16
  8) 44:                         23: 16/13 18/16
  9) 62:                         66: 13/7 13/7 13/7 16/10
 10) 45: 25/20 13/9              32: 8/5 7/5
 11) 13: 25/22 11/10             31: 10/7 6/5
 12) 21: 13/11 11/10             31: 8/5 8/7
 13) 54: 10/5 9/5                15: 6/1 7/6
 14) 54: 22/17 10/6              24: 7/5 5/1
 15) 16: 11/5 5/4                46: 7/1 6/2
 16) 55: 22/17 17/12 12/7 17/12  62: 7/1 2/0
 17) 34: 7/4 6/2                 53: 5/0 5/2
 18) 66: 22/16 16/10 12/6 10/4   14: 4/0 1/0
 19) 15: 5/0 1/0                 45: 5/0 4/0
 20) 13: 3/0 1/0                 12: 2/0 1/0
 21) 15: 6/1 1/0                 35: 5/0 6/3
 22) 46: 6/0 4/0                 12: 2/0 1/0
 23) 46: 6/0 4/0                 41: 1/0 6/2
 24) 45: 5/0 4/0                 22: 3/1 2/0 2/0 1/0
                                  Wins 2 points
