 3 point match

 Game 1
 zoonk,1666 : 0                   nori,1699 : 0
  1)                             26: 24/18 13/11
  2) 15: 8/7 6/1                 55: 25/20 25/20 8/3 8/3
  3) 42: 13/9 9/7                42: 8/4 6/4
  4) 62: 13/7 6/4                63: 20/14 14/11
  5) 24: 7/5 5/1                  Doubles => 2
  6)  Takes                      66: 
  7) 26: 6/4 13/7                36: 25/22 22/16
  8) 15: 7/2 24/23               34: 6/2 16/13
  9) 12: 25/23 24/23             33: 25/22 11/8 11/8 13/10
 10) 35: 23/18 18/15             63: 25/22 8/2
 11) 34:                         63: 8/2 13/10
 12) 11: 25/24 25/24 6/5 6/5     65: 10/4 13/8
 13) 51: 7/2 7/6                 64: 13/7 13/9
 14) 21: 13/11 6/5               55: 7/2 8/3 9/4
 15) 26: 13/7 7/5                22: 6/4 6/4 6/4 4/2
 16) 23: 4/1 4/2                 35: 22/19 19/14
 17) 43:                         41: 22/18 14/13
 18) 34:                         14: 18/14 13/12
 19) 62: 25/19 5/3               51: 12/7 7/6
 20) 21: 25/24 5/3               23: 14/11 6/4
 21) 23: 8/5 8/6                 14: 11/7 7/6
 22) 23: 6/4 5/2                 42: 6/2 2/0
 23) 54: 24/19 19/15             46: 4/0 4/0
 24) 13: 15/12 12/11             26: 4/0 2/0
 25) 46: 24/18 18/14             12: 3/1 2/1
 26) 44:                         65: 4/0 4/0
 27) 14:                         41: 4/0 4/3
 28) 14: 25/21 21/20             64: 3/0 3/0
 29) 51: 11/6 14/13              25: 3/0 2/0
 30) 22: 13/11 20/18 18/16 16/14 51: 2/0 1/0
 31) 43: 14/10 11/8              45: 1/0
                                  Wins 4 points
