 5 point match

 Game 1
 HansK,1615 : 0                   nori,1756 : 0
  1)                             25: 13/8 24/22
  2) 13: 8/5 6/5                 51: 13/8 22/21
  3) 55: 8/3 8/3 6/1 6/1         34: 25/21 13/10
  4) 35: 24/21 21/16             25: 10/8 6/1
  5) 23: 25/23 16/13             54: 6/1 6/2
  6)  Doubles => 2                Takes
  7) 41: 25/21 21/20             12: 8/6 2/1
  8) 33: 13/10 13/10 10/7 10/7   11: 8/7 7/6 6/5 6/5
  9) 65:                         34: 13/9 8/5
 10) 23: 25/22 13/11             62: 9/3 5/3
 11) 65:                         42: 13/9 8/6
 12) 15:                         14: 9/8 21/17
 13) 42: 25/21 13/11             61: 17/11 6/5
 14) 23: 7/4 11/9                44: 25/21 8/4 8/4 11/7
 15) 32:                                   Wins 6 points
