 1 point match

 Game 1
 NIUSHA,1750 : 0                  nori,1780 : 0
  1)                             15: 13/8 6/5
  2) 21: 13/11 24/23             12: 6/5 24/22
  3) 65: 24/18 23/18             33: 13/10 13/10 8/5 24/21
  4) 25: 13/8 13/11              21: 22/20 21/20
  5) 32: 8/6 6/3                 64: 10/4 8/4
  6) 16: 8/2 3/2                 56: 10/4 8/3
  7) 41: 18/17 17/13             11: 25/24 4/3 5/4 6/5
  8) 43: 18/14 14/11             14: 5/1 4/3
  9) 36: 11/8 8/2                44: 13/9 13/9 9/5 5/1
 10) 33: 13/10 13/10 10/7 10/7   33: 24/21 9/6 5/2 5/2
 11) 36: 13/7 6/3                43: 20/16 16/13
 12) 54: 11/6 11/7               22: 13/11 11/9 9/7 7/5
 13) 24: 6/2 3/1                 36: 20/14 14/11
 14) 23: 6/4 4/1                 44: 25/21 11/7 7/3 5/1
 15) 55: 8/3 8/3 7/2 7/2         33: 6/3 6/3 4/1 6/3
 16) 12: 6/4 4/3                 26: 
 17) 61: 7/1 7/6                 26: 
 18) 42: 6/2 2/0                 13: 
 19) 23: 3/0 2/0                 26: 
 20) 21: 2/0 1/0                 55: 25/20 20/15 15/10 10/5
 21) 11: 2/1 1/0 1/0 1/0         51: 5/0 1/0
 22) 31: 3/0 2/1                 61: 4/0 1/0
 23) 22: 6/4 4/2 2/0 2/0         63: 3/0 3/0
 24) 61: 6/0 1/0                 36: 3/0 3/0
 25) 55: 3/0 2/0                
      Wins 1 point
