 7 point match

 Game 1
 Rusty,1658 : 0                   nori,1764 : 2
  1) 32: 13/10 13/11             52: 13/8 24/22
  2) 24: 13/9 11/9               11: 6/5 6/5 8/7 8/7
  3) 11: 6/5 6/5 24/23 23/22     26: 24/22 13/7
  4) 14: 22/21 8/4               26: 13/7 6/4
  5) 25: 25/23 10/5              14: 22/21 8/4
  6) 24: 25/23 8/4                Doubles => 2
  7)  Takes                      14: 25/21 7/6
  8) 35: 25/22 22/17             61: 25/24 21/15
  9) 31: 13/10 9/8               63: 25/22 22/16
 10) 53: 25/22 22/17             46: 16/12 22/16
 11) 63: 25/22 10/4              36: 24/21 12/6
 12) 46:                         41: 7/3 6/5
 13) 13: 25/22 25/24             13: 25/24 6/3
 14) 14: 25/24 8/4               15: 25/24 16/11
 15) 33: 17/14 14/11 17/14 11/8  33: 25/22 24/21 13/10 10/7
 16) 61: 25/24 23/17             32: 5/3 24/21
 17) 32: 6/3 5/3                 61: 25/24 24/18
 18) 53: 17/12 12/9              14: 25/21 7/6
 19) 62: 23/17 9/7               26: 25/23 21/15
 20) 33: 8/5 5/2 8/5 5/2         16: 25/24 24/18
 21) 13: 25/24 17/14             34: 15/12 12/8
 22) 61: 24/23 23/17             12: 25/24 18/16
 23) 53: 14/9 9/6                13: 25/24 24/21
 24) 53: 14/9 9/6                61: 24/18 18/17
 25) 62: 17/11 11/9              12: 17/16 16/14
 26) 26: 25/23 23/17             54: 14/9 21/17
 27) 34: 6/2 6/3                 44: 21/17 17/13 17/13 9/5
 28) 65: 17/11 11/6              13: 5/2 13/12
 29) 22: 6/4 6/4 6/4 4/2         42: 
 30) 14: 5/1 2/1                 23: 
 31) 36: 5/2                     64: 25/19 6/2
 32) 44:                         15: 12/7 7/6
 33) 21: 3/1 2/1                 53: 13/8 8/5
 34) 32: 4/1 4/2                 32: 19/16 16/14
 35) 25: 3/1                     62: 14/8 7/5
 36) 43:                         64: 8/2 7/3
 37) 65: 24/18 18/13             65: 6/0 5/0
 38) 43: 13/9 9/6                11: 6/5 6/5 5/4 5/4
 39) 61: 24/18 18/17             12: 5/3 3/2
 40) 63: 17/11 6/3               11: 5/4 5/4 4/3 4/3
 41) 13: 11/8 8/7                21: 2/0 3/2
 42) 23: 7/4 4/2                 62: 4/0 2/0
 43) 31: 2/1                     44: 4/0 4/0 4/0 3/0
 44) 63: 24/18 18/15             36: 3/0 3/0
 45) 45: 15/10 10/6              33: 3/0 2/0 2/0 2/0
                                  Wins 6 points
