 3 point match

 Game 1
 d7,1687 : 0                      nori,1771 : 0
  1)                             36: 24/18 13/10
  2) 33: 13/10 10/7 8/5 8/5      24: 25/23 13/9
  3) 63: 24/18 18/15             61: 25/24 23/17
  4) 12: 25/24 7/5               33: 13/10 8/5 8/5 8/5
  5) 35: 25/22 13/8              66: 
  6)  Doubles => 2                Takes
  7) 34: 22/18 18/15             42: 25/21 25/23
  8) 62: 24/18 18/16             44: 25/21 21/17 13/9 13/9
  9) 44: 25/21 25/21 6/2 6/2     32: 25/22 24/22
 10) 53: 13/8 8/5                66: 
 11) 25: 24/22 22/17             14: 25/21 6/5
 12) 54: 6/1 5/1                 54: 25/21 21/16
 13) 46: 15/9 13/9               34: 25/21 6/3
 14) 41: 17/13 13/12             22: 5/3 9/7 9/7 5/3
 15) 34: 13/9 9/6                52: 6/1 3/1
 16) 45: 21/16 21/17             31: 7/4 7/6
 17) 24: 16/12 17/15             12: 6/4 3/2
 18) 26: 15/9 9/7                53: 22/17 21/18
 19) 65:                         22: 17/15 6/4 4/2 6/4
 20) 26: 25/19 12/10             11: 
 21) 23: 6/3 5/3                 12: 
 22) 63: 19/13 10/7              14: 25/21
 23) 23: 12/9 9/7                43: 25/21
 24) 65: 13/7 7/2                21: 
 25) 23: 9/6 9/7                 34: 25/21 4/1
 26) 53: 7/2 6/3                 52: 21/16 16/14
 27) 14: 7/3 7/6                 46: 21/15 21/17
 28) 53: 6/1 3/0                 22: 15/13 13/11 11/9 14/12
 29) 51: 6/1 6/5                 35: 17/12 12/9
 30) 55: 5/0 5/0 5/0 3/0         26: 12/6 21/19
 31) 26: 3/0 2/0                 33: 9/6 9/6 21/18 19/16
 32) 14: 3/0 1/0                 36: 18/12 16/13
 33) 53: 2/0 2/0                 12: 13/11 11/10
 34) 33: 2/0 1/0 1/0 1/0        
      Wins 4 points
