 7 point match

 Game 1
 junejuly,1787 : 0                nori,1787 : 0
  1)                             25: 13/8 24/22
  2) 22: 6/4 6/4 13/11 13/11     13: 8/5 6/5
  3) 44: 11/7 11/7 7/3 7/3       41: 25/24 13/9
  4)  Doubles => 2                Takes
  5) 42: 13/9 24/22              45: 9/4 8/4
  6) 31: 8/5 6/5                 24: 13/9 9/7
  7) 32: 24/22 9/6               66: 24/18 24/18 13/7 13/7
  8) 46: 8/2 8/4                 45: 7/2 6/2
  9) 65: 22/16 16/11              Doubles => 4
 10)  Takes                      65: 8/2 8/3
 11) 13: 25/22 11/10             11: 25/24 24/23 4/3 4/3
 12) 62:                         65: 7/1 6/1
 13) 32:                         35: 23/18 18/15
 14) 26:                         43: 15/11 11/8
 15) 53:                         52: 18/13 8/6
 16) 55:                         56: 18/13 13/7
 17) 65:                         12: 13/11 11/10
 18) 25:                         61: 10/4 4/3
 19) 51:                         36: 7/1 6/3
 20) 53:                         55: 7/2 6/1 6/1 5/0
 21) 51: 25/20                   42: 25/23
 22) 56: 25/19 25/20             62: 23/17 17/15
 23) 21: 13/11 11/10             16: 25/24 24/18
 24)  Doubles => 8                Takes
 25) 45: 13/8 10/6               31: 18/17 17/14
 26) 56: 25/19 6/1               45: 14/9
 27) 36: 19/16 19/13             14: 25/24
 28) 35: 25/20 20/17             65: 24/18 18/13
 29) 26: 20/14 14/12             31: 25/24
 30) 63: 4/1 17/11               12: 25/24 3/1
 31) 26: 25/19 16/14             36: 24/18 18/15
 32) 35: 13/10 14/9              41: 25/24
 33) 23: 10/7 9/7                54: 
 34) 54: 19/14 12/8              45: 
 35) 41: 14/10 20/19             51: 24/23
 36) 12: 10/8 11/10              24: 3/1
 37) 42: 6/2 19/17               14: 25/24
 38) 31: 10/7 17/16              44: 
 39) 12: 16/14 7/6               11: 3/2 3/2 24/23 2/1
 40) 32: 25/22 14/12             52: 
 41) 41: 6/2 12/11               21: 25/23 2/1
 42) 42: 25/21 11/9              12: 2/1
 43) 61: 9/3 3/2                 61: 25/24
 44) 46: 8/2 21/17               15: 2/1
 45) 65: 17/11 11/6              52: 
 46) 53: 6/1 8/5                 55: 
 47) 44: 5/1 22/18 18/14 14/10   22: 
 48) 15: 10/5 7/6                12: 
 49) 21: 7/5 5/4                 22: 
 50) 24: 4/0 6/4                 51: 
 51) 12: 5/3 3/2                 43: 
 52) 44: 6/2 6/2 5/1 5/1         21: 
 53) 24: 4/0 2/0                 56: 25/19 19/14
 54) 36: 4/0 3/0                 11: 14/13 13/12 12/11 11/10
 55) 42: 4/0 2/0                 53: 10/5 5/2
 56) 15: 3/0 1/0                 43: 2/0 2/0
 57) 56: 2/0 2/0                 11: 1/0 1/0 1/0 1/0
 58) 34: 2/0 1/0                 16: 2/0 1/0
 59) 33: 1/0 1/0                
      Wins 8 points
