 3 point match

 Game 1
 lavraki,1684 : 0                 nori,1784 : 0
  1) 53: 8/3 6/3                 45: 13/8 24/20
  2) 35: 13/8 24/21              33: 8/5 8/5 6/3 6/3
  3) 14: 6/5 5/1                 66: 
  4) 25: 6/1 13/11               21: 25/23
  5) 65: 8/2 11/6                12: 25/23
  6) 61: 25/24 8/2               44: 25/21 25/21 8/4 8/4
  7) 21: 25/23 24/23              Doubles => 2
  8)  Takes                      13: 21/18 18/17
  9) 61: 25/24 13/7              52: 17/15 15/10
 10) 11: 6/5 5/4 4/3 3/2         13: 
 11) 43: 13/9 13/10              35: 25/20 13/10
 12) 32: 7/5 10/7                35: 25/20 13/10
 13) 14: 25/24 9/5               13: 
 14) 56: 24/18 18/13             14: 25/21 21/20
 15) 34:                         41: 13/12 12/8
 16) 15: 25/24                   31: 10/7 8/7
 17) 21: 25/23 24/23             46: 20/14 13/9
 18) 51: 7/2 2/1                 15: 10/5 10/9
 19) 25: 6/1 6/4                 22: 7/5 7/5 5/3 14/12
 20) 63: 23/17 17/14             13: 12/11 11/8
 21) 56:                         41: 8/4 9/8
 22) 12: 25/23 4/3               64: 9/3 8/4
 23) 43:                         66: 6/0 6/0 6/0 5/0
 24) 52: 23/18 18/16             21: 5/3 4/3
 25) 31: 16/13 13/12             41: 4/0 5/4
 26) 55: 23/18 18/13 13/8 12/7   65: 5/0 4/0
 27) 52: 23/18 8/6               63: 4/0 3/0
 28) 54: 18/13 13/9              65: 4/0 3/0
 29) 31: 9/6 7/6                 21: 3/2 2/0
 30) 21: 25/23 6/5               24: 3/0
 31) 34: 24/20 20/17             16: 3/0 3/2
 32) 41: 25/21 24/23             62: 
 33) 62: 17/11 21/19             61: 
 34) 53: 19/14 23/20             11: 
 35) 55: 14/9 20/15 15/10 10/5   12: 
 36) 41: 9/5 5/4                 24: 25/21
 37) 16: 25/19 3/2               61: 21/15 15/14
 38) 21: 25/24 24/22             56: 14/8 8/3
 39) 22: 25/23 19/17 17/15 15/13 14: 3/2 2/0
                                  Wins 6 points
